Id,Importance
Art Davis,17763
Lee Morgan,17714
Paul Chambers,17202
Al Grey,17026
Sun Ra,16079
Billy Cobham,15897
Oliver Nelson,15482
Cannonball Adderley,15019
Jim Hall,14973
Horace Silver,14799
John McLaughlin,14630
Charlie Christian,14401
Louis Armstrong,14159
Freddie Hubbard,13543
Count Basie,13520
Wes Montgomery,13358
Buddy Rich,13146
Dave Holland,13101
Benny Goodman,13079
Oscar Peterson,13050
Ornette Coleman,13007
Stanley Turrentine,12987
Donald Byrd,12754
John Coltrane,12605
Joe Pass,12491
Al Foster,12436
Jo Jones,12393
David Murray,12169
Danny Bank,12113
Paul Desmond,12006
Evan Parker,11907
Joe Henderson,11906
Freddie Green,11769
Ray Brown,11446
Ben Webster,11427
Art Tatum,11387
Bud Powell,11316
Art Taylor,11259
Herbie Hancock,11201
Stan Kenton,11118
Gerry Mulligan,11107
Michael Brecker,10993
Ella Fitzgerald,10917
Hank Mobley,10872
Roland Kirk,10673
Quentin Jackson,10609
Jackie McLean,10512
Art Pepper,10456
Lester Young,10433
Miles Davis,10425
Junior Cook,10339
Louis Hayes,10301
Jimmy Cleveland,10159
Dizzy Gillespie,10097
Art Blakey,10043
Elvin Jones,10004
Gil Evans,9958
Bob Berg,9896
Teddy Wilson,9402
Kenny Barron,9356
George Coleman,9216
Max Roach,9062
Joe Morello,8999
Jaco Pastorius,8929
Charlie Parker,8909
Eric Dolphy,8881
Woody Herman,8831
Dave Brubeck,8804
Ron Carter,8630
Cedar Walton,8522
Harold Land,8483
Clifford Brown,8457
Dave Bailey,8380
Richard Davis,8371
Thelonious Monk,8212
Bill Evans,8137
Bobby Hutcherson,7935
Joe Zawinul,7917
Lou Donaldson,7759
Tommy Flanagan,7755
Cecil Taylor,7673
Pat Metheny,7596
Hank Jones,7539
Sarah Vaughan,7429
Anthony Braxton,7408
Benny Golson,7366
Jimmy Smith,7352
Charles Mingus,7063
Barney Kessel,7057
Herb Ellis,7055
Benny Carter,6997
Thad Jones,6808
Tony Williams,6692
Glenn Miller,6512
Kenny Burrell,6494
Marshall Allen,6487
Sonny Rollins,6478
Mary Lou Williams,6360
Ray Drummond,6254
Art Farmer,6218
Milt Jackson,6043
Johnny Hodges,5956
Red Garland,5690
Billy Hart,5235
John Hicks,5220
Roy Haynes,5169
Jack DeJohnette,5147
Jimmy Hamilton,5061
William Parker,4996
Stan Getz,4939
Kenny Dorham,4735
Mel Lewis,4707
Joe Chambers,4621
Erroll Garner,4592
Charlie Haden,4420
Wynton Marsalis,4063
Eddie Gomez,3994
Kenny Drew,3892
Blue Mitchell,3875
Albert Ayler,3784
Keith Jarrett,3722
Pepper Adams,3444
Coleman Hawkins,3281
Mal Waldron,3202
Wynton Kelly,3104
Duke Ellington,3045
Clifford Jordan,2544
Hubert Laws,2531
George Cables,2458
Billy Strayhorn,2323
Buster Williams,2322
Paul Motian,2226
Kenny Clarke,2213
Lennie Tristano,2148
Zoot Sims,2096
Nat Adderley,1986
J. J. Johnson,1864
Earl Hines,1666
Fred Hopkins,1560
Roy Eldridge,1541
Philly Joe Jones,1492
Billie Holiday,1469
Gene Wright,1300
Louie Bellson,1281
Jack Teagarden,1243
Jimmy Lyons,1083
Airto Moreira,1043
Ray Bryant,1041
Rahsaan Roland Kirk,1013
Shelly Manne,917
Billy Higgins,911
Sahib Shihab,881
Willie Cook,863
Phil Woods,811
Curtis Fuller,796
Bob Brookmeyer,785
Jimmy Giuffre,784
McCoy Tyner,742
Jimmy Garrison,733
Percy Heath,711
Johnny Coles,628
Clark Terry,622
Doug Watkins,537
Wayne Shorter,535
Jon Faddis,479
Oscar Pettiford,457
Ernie Watts,453
Eddie Bert,436
Paul Lytton,430
Melba Liston,416
Sam Woodyard,400
Chick Corea,398
Dannie Richmond,397
Ray Nance,393
"Eddie ""Lockjaw"" Davis",392
Jerome Richardson,385
Jimmy Knepper,371
Cootie Williams,357
Gary Peacock,351
"Harry ""Sweets"" Edison",339
Ernie Royal,307
Frank Wess,307
Cecil Payne,306
Dewey Redman,303
Marty Morell,273
George Mraz,269
Roy McCurdy,252
Jimmy Cobb,238
Bennie Maupin,218
Ed Thigpen,213
Larry Bunker,213
George Duvivier,204
Milt Hinton,204
Teo Macero,200
Julius Watkins,195
Leonard Feather,194
Jimmy Woode,188
Stan Levey,188
Paul Gonsalves,176
Russell Procope,173
James Spaulding,169
Julian Priester,169
Reggie Workman,130
Wendell Marshall,129
Jimmy Rowles,121
Andrew Cyrille,120
Gigi Gryce,119
Mercer Ellington,113
Barry Altschul,104
Osie Johnson,100
